	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	893	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	893	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	893	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	893	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	894	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	894	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	894	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	895	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	912	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	912	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	913	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	913	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	913	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	913	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	914	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	914	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	914	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	915	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	932	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	932	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	933	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	933	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	933	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	933	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	934	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	934	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	934	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	935	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	952	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	952	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	953	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	953	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	953	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	953	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	954	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	954	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	954	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	955	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	972	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	972	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	973	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	973	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	973	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	973	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	974	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	974	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	974	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	975	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	992	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	992	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	993	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	993	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	993	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	993	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	994	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	994	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	994	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	995	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1012	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1012	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1013	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1013	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1013	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1013	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1014	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1014	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1014	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1015	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1032	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1032	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1033	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1033	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1033	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1033	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1034	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1034	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1034	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1035	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1052	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1052	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1053	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1053	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1053	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1053	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1054	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1054	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1054	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1055	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1072	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1072	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1073	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1073	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1073	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1073	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1074	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1074	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1074	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1075	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1092	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1092	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1093	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1093	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1093	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1093	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1094	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1094	2	1	1	1	1	1776	28	1	37.6758 	0	0
UL	1094	9	1	1	1	1	1157	21	0	37.6758 	0	0
DL	1095	2	1	1	3	1	1776	28	0	36.7032	 	0	0
UL	1112	4	1	1	1	1	48	0	0	37.6758 	0	0
UL	1112	5	1	1	1	1	48	0	0	37.6758 	0	0
DL	1113	1	1	1	3	1	48	0	0	12.9584	 	0	0
DL	1113	1	3	20	3	1	1027	0	0	36.7032	 	0	0
DL	1113	2	2	8	3	1	411	0	0	36.7032	 	0	0
UL	1113	6	1	1	1	1	1776	28	0	13.9293 	1	1
DL	1114	2	1	1	3	1	1776	28	0	36.7032	 	0	0
